Date;Impressions;Profit;CPM
2024-02-11;2452;1.394;0.5687
2024-02-10;12249;6.652;0.5431
2024-02-09;11528;6.337;0.5497
2024-02-08;12883;6.452;0.5008
2024-02-07;12728;5.135;0.4034
2024-02-06;11317;5.925;0.5236
2024-02-05;12934;5.878;0.4544
2024-02-04;10833;5.375;0.4962
2024-02-03;12617;6.943;0.5503
2024-02-02;13067;6.111;0.4677
2024-02-01;12436;5.907;0.475
2024-01-31;10849;4.609;0.4248
2024-01-30;12284;3.344;0.2722
2024-01-29;12610;3.836;0.3042
2024-01-28;17432;5.413;0.3105
2024-01-27;13564;5.17;0.3811
2024-01-26;15647;5.875;0.3755
2024-01-25;14652;7.224;0.493
2024-01-24;12581;6.231;0.4953
2024-01-23;11138;5.437;0.4881
2024-01-22;10815;4.945;0.4573
2024-01-21;10585;4.381;0.4139
2024-01-20;12897;5.083;0.3941
2024-01-19;13195;4.782;0.3624
2024-01-18;14867;5.385;0.3622
2024-01-17;14475;5.952;0.4112
2024-01-16;16337;6.042;0.3699
2024-01-15;16367;5.907;0.3609
2024-01-14;16170;6.046;0.3739
2024-01-13;20047;6.544;0.3264
2024-01-12;22112;6.636;0.3001
2024-01-11;23578;6.512;0.2762
;437246;177.463;0.4059
